timestamp,track_id,class_name,x1,y1,x2,y2,speed,direction
1748782723.011499,41,person,871,431,967,629,0.00,0.0
1748782723.011499,88,person,501,363,603,634,2.12,45.0
1748782723.011499,17,bus,443,281,683,569,2.12,-45.0
1748782723.011499,99,car,322,430,457,550,3.00,90.0
1748782723.011499,101,person,798,401,880,640,2.12,45.0
1748782723.011499,104,bicycle,808,518,878,673,3.35,-63.4
1748782723.011499,112,person,648,399,739,645,3.35,-153.4
1748782723.011499,115,car,172,397,333,619,9.12,9.5
1748782723.011499,82,car,856,391,904,448,3.00,90.0
1748782723.011499,120,person,1009,254,1169,598,56.46,-107.0
1748782723.011499,139,person,1174,150,1252,712,21.84,-164.1
1748782723.011499,140,car,728,451,771,519,3.35,63.4
1748782723.011499,141,bus,0,34,191,706,1.50,-90.0
1748782723.011499,110,bicycle,663,520,742,673,4.50,-90.0
1748782723.011499,127,bicycle,518,508,585,653,7.50,53.1
1748782723.0641541,41,person,872,432,967,630,3.35,63.4
1748782723.0641541,88,person,510,369,608,627,21.05,-4.1
1748782723.0641541,17,bus,445,282,686,572,9.60,38.7
1748782723.0641541,99,car,331,436,459,550,18.79,28.6
1748782723.0641541,101,person,799,402,880,637,3.35,-63.4
1748782723.0641541,104,bicycle,808,515,879,672,6.18,-76.0
1748782723.0641541,112,person,649,399,738,638,10.50,-90.0
1748782723.0641541,115,car,177,397,338,619,15.00,0.0
1748782723.0641541,82,car,856,390,905,449,1.50,0.0
1748782723.0641541,139,person,1168,145,1250,717,12.00,180.0
1748782723.0641541,140,car,729,449,772,519,4.24,-45.0
1748782723.0641541,141,bus,8,43,196,703,21.48,24.8
1748782723.0641541,110,bicycle,661,518,741,672,6.36,-135.0
1748782723.0641541,127,bicycle,518,500,589,651,16.16,-68.2
1748782723.113555,-1,car,0,423,194,512,0.00,0.0
1748782723.113555,-1,car,754,395,988,517,0.00,0.0
1748782723.113555,-1,car,1087,385,1191,446,0.00,0.0
1748782723.162102,144,car,0,423,194,512,0.00,0.0
1748782723.162102,145,car,754,395,987,517,0.00,0.0
1748782723.162102,146,car,1087,385,1191,445,0.00,0.0
1748782723.209554,144,car,0,423,199,515,8.75,31.0
1748782723.209554,145,car,779,397,1013,518,76.63,3.4
1748782723.209554,146,bus,1092,386,1199,448,20.40,17.1
1748782723.256753,144,car,0,423,205,517,9.49,18.4
1748782723.256753,145,car,797,397,1036,521,61.66,4.2
1748782723.256753,146,bus,1100,387,1202,447,16.50,0.0
1748782723.302665,144,car,1,424,207,519,6.36,45.0
1748782723.302665,145,car,816,399,1060,524,64.93,6.6
1748782723.302665,17,aeroplane,425,280,629,470,0.00,0.0
1748782723.350425,144,car,2,426,210,521,8.49,45.0
1748782723.350425,145,car,828,399,1083,529,53.03,8.1
1748782723.3963609,144,car,4,428,213,523,9.60,38.7
1748782723.3963609,145,car,836,399,1102,533,40.94,8.4
1748782723.4426508,144,car,5,429,215,524,5.41,33.7
1748782723.4426508,145,car,848,400,1120,536,45.40,7.6
1748782723.494802,144,car,5,431,221,529,13.83,49.4
1748782723.494802,145,car,868,402,1144,540,66.61,7.8
